metric_id,line_id,equipment_id,report_date,event_time,equipment_status,pcb_barcode_reading,planned_production_minutes,downtime_minutes,operating_time_minutes,ideal_cycle_time_seconds,total_count,good_count,reject_count,availability,performance,quality,oee,alarm_count
MET-EQ-SMT-L01-MNT01-20260714-00,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T00:00:00+08:00,RUNNING,9252,60,4,56,2.4,1347,1334,13,0.9333,0.9623,0.9908,0.8899,0
MET-EQ-SMT-L01-MNT01-20260714-01,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T01:00:00+08:00,RUNNING,1912,60,1,59,2.4,1360,1345,15,0.9833,0.9227,0.9893,0.8976,0
MET-EQ-SMT-L01-MNT01-20260714-02,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T02:00:00+08:00,RUNNING,2243,60,2,58,2.4,1387,1374,13,0.9667,0.957,0.991,0.9168,0
MET-EQ-SMT-L01-MNT01-20260714-03,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T03:00:00+08:00,RUNNING,5323,60,3,57,2.4,1308,1301,7,0.95,0.9184,0.9949,0.868,0
MET-EQ-SMT-L01-MNT01-20260714-04,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T04:00:00+08:00,RUNNING,157,60,4,56,2.4,1284,1277,7,0.9333,0.9176,0.9952,0.8523,0
MET-EQ-SMT-L01-MNT01-20260714-05,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T05:00:00+08:00,RUNNING,2586,60,1,59,2.4,1412,1398,14,0.9833,0.9579,0.9907,0.9331,0
MET-EQ-SMT-L01-MNT01-20260714-06,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T06:00:00+08:00,RUNNING,6148,60,2,58,2.4,1396,1382,14,0.9667,0.963,0.99,0.9216,0
MET-EQ-SMT-L01-MNT01-20260714-07,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T07:00:00+08:00,RUNNING,1179,60,3,57,2.4,1367,1354,13,0.95,0.9598,0.9908,0.9034,0
MET-EQ-SMT-L01-MNT01-20260714-08,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T08:00:00+08:00,RUNNING,5620,60,4,56,2.4,1324,1315,9,0.9333,0.9462,0.9933,0.8772,0
MET-EQ-SMT-L01-MNT01-20260714-09,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T09:00:00+08:00,RUNNING,3765,60,1,59,2.4,1395,1383,12,0.9833,0.9461,0.9917,0.9226,0
MET-EQ-SMT-L01-MNT01-20260714-10,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T10:00:00+08:00,RUNNING,4387,60,1,59,2.4,1350,1335,15,0.9833,0.9157,0.9893,0.8908,0
MET-EQ-SMT-L01-MNT01-20260714-11,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T11:00:00+08:00,RUNNING,9620,60,4,56,2.4,1343,1334,9,0.9333,0.9597,0.9936,0.89,0
MET-EQ-SMT-L01-MNT01-20260714-12,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T12:00:00+08:00,RUNNING,2591,60,3,57,2.4,1337,1333,4,0.95,0.9388,0.9974,0.8895,0
MET-EQ-SMT-L01-MNT01-20260714-13,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T13:00:00+08:00,RUNNING,4363,60,2,58,2.4,1321,1313,8,0.9667,0.9113,0.9943,0.8759,0
MET-EQ-SMT-L01-MNT01-20260714-14,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T14:00:00+08:00,RUNNING,8373,60,1,59,2.4,1352,1349,3,0.9833,0.9171,0.9978,0.8998,0
MET-EQ-SMT-L01-MNT01-20260714-15,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T15:00:00+08:00,RUNNING,4457,60,4,56,2.4,1319,1303,16,0.9333,0.9422,0.9884,0.8692,0
MET-EQ-SMT-L01-MNT01-20260714-16,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T16:00:00+08:00,RUNNING,3812,60,3,57,2.4,1390,1378,12,0.95,0.976,0.992,0.9198,0
MET-EQ-SMT-L01-MNT01-20260714-17,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T17:00:00+08:00,RUNNING,5212,60,2,58,2.4,1377,1373,4,0.9667,0.9502,0.9974,0.9162,0
MET-EQ-SMT-L01-MNT01-20260714-18,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T18:00:00+08:00,RUNNING,9890,60,1,59,2.4,1369,1362,7,0.9833,0.9283,0.9954,0.9086,0
MET-EQ-SMT-L01-MNT01-20260714-19,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T19:00:00+08:00,RUNNING,8870,60,4,56,2.4,1335,1322,13,0.9333,0.9538,0.9906,0.8818,0
MET-EQ-SMT-L01-MNT01-20260714-20,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T20:00:00+08:00,RUNNING,3739,60,4,56,2.4,1290,1287,3,0.9333,0.9218,0.9982,0.8588,0
MET-EQ-SMT-L01-MNT01-20260714-21,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T21:00:00+08:00,RUNNING,1911,60,1,59,2.4,1432,1426,6,0.9833,0.9712,0.9963,0.9514,0
MET-EQ-SMT-L01-MNT01-20260714-22,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T22:00:00+08:00,RUNNING,98,60,2,58,2.4,1379,1366,13,0.9667,0.9511,0.9907,0.9109,0
MET-EQ-SMT-L01-MNT01-20260714-23,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-14,2026-07-14T23:00:00+08:00,RUNNING,5240,60,3,57,2.4,1310,1304,6,0.95,0.9195,0.9961,0.8701,0
MET-EQ-SMT-L01-MNT01-20260715-00,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T00:00:00+08:00,RUNNING,123,60,1,59,2.4,1411,1404,7,0.9833,0.9569,0.9954,0.9366,0
MET-EQ-SMT-L01-MNT01-20260715-01,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T01:00:00+08:00,FAULT,27048,60,44,16,2.4,360,358,2,0.2667,0.9003,0.997,0.2394,1
MET-EQ-SMT-L01-MNT01-20260715-02,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T02:00:00+08:00,RUNNING,6608,60,3,57,2.4,1318,1304,14,0.95,0.9252,0.9898,0.87,0
MET-EQ-SMT-L01-MNT01-20260715-03,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T03:00:00+08:00,RUNNING,4741,60,2,58,2.4,1394,1391,3,0.9667,0.962,0.9982,0.9283,0
MET-EQ-SMT-L01-MNT01-20260715-04,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T04:00:00+08:00,FAULT,50504,60,50,10,2.4,219,218,1,0.1667,0.8785,0.9964,0.1459,1
MET-EQ-SMT-L01-MNT01-20260715-05,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T05:00:00+08:00,RUNNING,6352,60,4,56,2.4,1361,1351,10,0.9333,0.9725,0.9929,0.9012,0
MET-EQ-SMT-L01-MNT01-20260715-06,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T06:00:00+08:00,RUNNING,952,60,3,57,2.4,1366,1363,3,0.95,0.9587,0.998,0.9089,0
MET-EQ-SMT-L01-MNT01-20260715-07,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T07:00:00+08:00,FAULT,49936,60,42,18,2.4,411,407,4,0.3,0.9155,0.9909,0.2722,1
MET-EQ-SMT-L01-MNT01-20260715-08,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T08:00:00+08:00,RUNNING,8269,60,1,59,2.4,1376,1366,10,0.9833,0.9335,0.993,0.9115,0
MET-EQ-SMT-L01-MNT01-20260715-09,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T09:00:00+08:00,RUNNING,8774,60,4,56,2.4,1362,1354,8,0.9333,0.9731,0.9945,0.9032,0
MET-EQ-SMT-L01-MNT01-20260715-10,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T10:00:00+08:00,FAULT,49555,60,42,18,2.4,403,400,3,0.3,0.8964,0.9946,0.2675,1
MET-EQ-SMT-L01-MNT01-20260715-11,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T11:00:00+08:00,RUNNING,3434,60,3,57,2.4,1314,1302,12,0.95,0.9227,0.991,0.8687,0
MET-EQ-SMT-L01-MNT01-20260715-12,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T12:00:00+08:00,RUNNING,1129,60,4,56,2.4,1365,1360,5,0.9333,0.9751,0.9967,0.9071,0
MET-EQ-SMT-L01-MNT01-20260715-13,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T13:00:00+08:00,FAULT,49967,60,42,18,2.4,398,395,3,0.3,0.8847,0.993,0.2636,1
MET-EQ-SMT-L01-MNT01-20260715-14,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T14:00:00+08:00,RUNNING,1717,60,2,58,2.4,1330,1324,6,0.9667,0.9176,0.9962,0.8837,0
MET-EQ-SMT-L01-MNT01-20260715-15,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T15:00:00+08:00,RUNNING,4736,60,3,57,2.4,1346,1331,15,0.95,0.945,0.9894,0.8882,0
MET-EQ-SMT-L01-MNT01-20260715-16,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T16:00:00+08:00,FAULT,49342,60,45,15,2.4,323,319,4,0.25,0.8623,0.9905,0.2135,1
MET-EQ-SMT-L01-MNT01-20260715-17,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T17:00:00+08:00,RUNNING,9606,60,1,59,2.4,1375,1370,5,0.9833,0.9324,0.997,0.9141,0
MET-EQ-SMT-L01-MNT01-20260715-18,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T18:00:00+08:00,RUNNING,812,60,2,58,2.4,1366,1364,2,0.9667,0.9424,0.9986,0.9097,0
MET-EQ-SMT-L01-MNT01-20260715-19,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T19:00:00+08:00,FAULT,17572,60,45,15,2.4,343,340,3,0.25,0.9148,0.9938,0.2273,1
MET-EQ-SMT-L01-MNT01-20260715-20,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T20:00:00+08:00,RUNNING,8317,60,3,57,2.4,1384,1379,5,0.95,0.9715,0.9969,0.9201,0
MET-EQ-SMT-L01-MNT01-20260715-21,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T21:00:00+08:00,RUNNING,8722,60,2,58,2.4,1330,1316,14,0.9667,0.9175,0.9898,0.8779,0
MET-EQ-SMT-L01-MNT01-20260715-22,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T22:00:00+08:00,FAULT,57697,60,48,12,2.4,266,264,2,0.2,0.8895,0.9953,0.1771,1
MET-EQ-SMT-L01-MNT01-20260715-23,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15,2026-07-15T23:00:00+08:00,RUNNING,3718,60,4,56,2.4,1281,1270,11,0.9333,0.9153,0.9917,0.8472,0
MET-EQ-SMT-L01-MNT01-20260716-00,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T00:00:00+08:00,RUNNING,1981,60,2,58,2.4,1371,1358,13,0.9667,0.9462,0.991,0.9065,0
MET-EQ-SMT-L01-MNT01-20260716-01,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T01:00:00+08:00,FAULT,10853,60,50,10,2.4,216,215,1,0.1667,0.8655,0.9985,0.1441,1
MET-EQ-SMT-L01-MNT01-20260716-02,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T02:00:00+08:00,RUNNING,150,60,4,56,2.4,1356,1346,10,0.9333,0.9688,0.9932,0.898,0
MET-EQ-SMT-L01-MNT01-20260716-03,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T03:00:00+08:00,RUNNING,8528,60,1,59,2.4,1375,1360,15,0.9833,0.9325,0.9895,0.9073,0
MET-EQ-SMT-L01-MNT01-20260716-04,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T04:00:00+08:00,FAULT,11966,60,44,16,2.4,344,341,3,0.2667,0.8612,0.9927,0.228,1
MET-EQ-SMT-L01-MNT01-20260716-05,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T05:00:00+08:00,RUNNING,3757,60,3,57,2.4,1337,1332,5,0.95,0.9387,0.9969,0.889,0
MET-EQ-SMT-L01-MNT01-20260716-06,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T06:00:00+08:00,RUNNING,977,60,4,56,2.4,1366,1363,3,0.9333,0.9764,0.998,0.9095,0
MET-EQ-SMT-L01-MNT01-20260716-07,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T07:00:00+08:00,FAULT,34630,60,47,13,2.4,283,281,2,0.2167,0.8738,0.9935,0.1881,1
MET-EQ-SMT-L01-MNT01-20260716-08,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T08:00:00+08:00,RUNNING,9832,60,2,58,2.4,1357,1350,7,0.9667,0.9361,0.9951,0.9005,0
MET-EQ-SMT-L01-MNT01-20260716-09,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T09:00:00+08:00,RUNNING,3731,60,3,57,2.4,1378,1364,14,0.95,0.9677,0.9903,0.9104,0
MET-EQ-SMT-L01-MNT01-20260716-10,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T10:00:00+08:00,FAULT,44985,60,46,14,2.4,303,302,1,0.2333,0.8679,0.9976,0.202,1
MET-EQ-SMT-L01-MNT01-20260716-11,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T11:00:00+08:00,RUNNING,4182,60,2,58,2.4,1410,1401,9,0.9667,0.9731,0.9937,0.9348,0
MET-EQ-SMT-L01-MNT01-20260716-12,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T12:00:00+08:00,RUNNING,8407,60,1,59,2.4,1428,1421,7,0.9833,0.9682,0.9956,0.9478,0
MET-EQ-SMT-L01-MNT01-20260716-13,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16,2026-07-16T13:00:00+08:00,FAULT,50541,60,42,18,2.4,399,396,3,0.3,0.887,0.9938,0.2645,1
