line_metric_id,line_id,report_date,event_time,production_status,planned_production_minutes,downtime_minutes,operating_time_minutes,total_count,good_count,reject_count,availability,performance,quality,oee,alarm_count,bottleneck_equipment_id,oee_calculation_method
LMET-PL-SMT-01-20260714-00,PL-SMT-01,2026-07-14,2026-07-14T00:00:00+08:00,DEGRADED,60,28,32,357,354,3,0.5333,0.931,0.9923,0.4927,1,EQ-SMT-L01-RTR01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-01,PL-SMT-01,2026-07-14,2026-07-14T01:00:00+08:00,RUNNING,60,4,56,870,862,8,0.9333,0.9332,0.991,0.8631,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-02,PL-SMT-01,2026-07-14,2026-07-14T02:00:00+08:00,RUNNING,60,4,56,806,794,12,0.9333,0.9126,0.9858,0.8396,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-03,PL-SMT-01,2026-07-14,2026-07-14T03:00:00+08:00,RUNNING,60,4,56,907,900,7,0.9333,0.9185,0.9933,0.8515,0,EQ-SMT-L01-PRN01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-04,PL-SMT-01,2026-07-14,2026-07-14T04:00:00+08:00,RUNNING,60,4,56,1284,1277,7,0.9333,0.9176,0.9952,0.8523,0,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-05,PL-SMT-01,2026-07-14,2026-07-14T05:00:00+08:00,RUNNING,60,2,58,640,634,6,0.9667,0.9198,0.9911,0.8813,0,EQ-SMT-L01-RTR01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-06,PL-SMT-01,2026-07-14,2026-07-14T06:00:00+08:00,RUNNING,60,4,56,856,847,9,0.9333,0.969,0.9899,0.8952,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-07,PL-SMT-01,2026-07-14,2026-07-14T07:00:00+08:00,RUNNING,60,4,56,745,743,2,0.9333,0.932,0.9983,0.8684,0,EQ-SMT-L01-RFL01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-08,PL-SMT-01,2026-07-14,2026-07-14T08:00:00+08:00,DEGRADED,60,19,41,670,666,4,0.6833,0.9263,0.9949,0.6297,1,EQ-SMT-L01-PRN01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-09,PL-SMT-01,2026-07-14,2026-07-14T09:00:00+08:00,RUNNING,60,3,57,844,835,9,0.95,0.9388,0.9898,0.8828,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-10,PL-SMT-01,2026-07-14,2026-07-14T10:00:00+08:00,RUNNING,60,4,56,740,738,2,0.9333,0.9257,0.9982,0.8624,0,EQ-SMT-L01-RFL01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-11,PL-SMT-01,2026-07-14,2026-07-14T11:00:00+08:00,RUNNING,60,4,56,1343,1334,9,0.9333,0.9597,0.9936,0.89,0,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-12,PL-SMT-01,2026-07-14,2026-07-14T12:00:00+08:00,RUNNING,60,4,56,860,858,2,0.9333,0.9218,0.9985,0.859,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-13,PL-SMT-01,2026-07-14,2026-07-14T13:00:00+08:00,RUNNING,60,4,56,807,795,12,0.9333,0.9129,0.9861,0.8402,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-14,PL-SMT-01,2026-07-14,2026-07-14T14:00:00+08:00,RUNNING,60,4,56,907,900,7,0.9333,0.9187,0.9929,0.8513,0,EQ-SMT-L01-PRN01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-15,PL-SMT-01,2026-07-14,2026-07-14T15:00:00+08:00,RUNNING,60,3,57,868,864,4,0.95,0.9141,0.9959,0.8648,0,EQ-SMT-L01-SPI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-16,PL-SMT-01,2026-07-14,2026-07-14T16:00:00+08:00,DEGRADED,60,28,32,469,461,8,0.5333,0.9285,0.9843,0.4874,1,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-17,PL-SMT-01,2026-07-14,2026-07-14T17:00:00+08:00,RUNNING,60,4,56,819,815,4,0.9333,0.9265,0.996,0.8612,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-18,PL-SMT-01,2026-07-14,2026-07-14T18:00:00+08:00,RUNNING,60,3,57,822,813,9,0.95,0.9138,0.99,0.8594,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-19,PL-SMT-01,2026-07-14,2026-07-14T19:00:00+08:00,RUNNING,60,2,58,836,825,11,0.9667,0.9133,0.9871,0.8715,0,EQ-SMT-L01-AOI01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-20,PL-SMT-01,2026-07-14,2026-07-14T20:00:00+08:00,RUNNING,60,4,56,1290,1287,3,0.9333,0.9218,0.9982,0.8588,0,EQ-SMT-L01-MNT01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-21,PL-SMT-01,2026-07-14,2026-07-14T21:00:00+08:00,RUNNING,60,4,56,911,902,9,0.9333,0.9222,0.9906,0.8526,0,EQ-SMT-L01-PRN01,BOTTLENECK_EQUIPMENT
LMET-PL-SMT-01-20260714-22,PL-SMT-01,2026-07-14,2026-07-14T22:00:00+08:00,RUNNING,60,3,57,922,914,8,0.95,0.9171,0.9917,0.864,0,EQ-SMT-L01-PRN01,BOTTLENECK_EQUIPMENT
